actor_id,surname,given_name,middle_name,birth_year,position_code,position_title,,,,,,
jpn.1965.001,Ueno,Kenichiro,,1965,jpn.min.hlth.exc.01,"Minister of Health, Labour and Welfare",,,,,,
jpn.1973.001,Matsumoto,Yohei,,1973,jpn.min.educ.exc.01,"Minister of Education, Culture, Sports, Science and Technology",,,,,,
jpn.1982.001,Suzuki,Norikazu,,1982,jpn.min.agrc.exc.01,"Minister of Agriculture, Forestry and Fisheries",,,,,,
jpn.1961.002,Kaneko,Yasushi,,1961,jpn.min.infr.exc.01,"Minister of Land, Infrastructure, Transport and Tourism",,,,,,
jpn.1964.001,Ishihara,Hirotaka,,1964,jpn.min.resr.env.exc.01,Minister of the Environment,,,,,,
jpn.1959.002,Makino,Takao,,1959,jpn.min.spec.int.exi.01.exc.01,Minister for Reconstruction,,,,,,
jpn.1969.001,Kihara,Minoru,,1969,jpn.min.hog.ops.exc.01,Chief Cabinet Secretary,,,,,,
jpn.1962.001,Matsumoto,Hisashi,,1962,jpn.min.comc.dig.exc.01,Minister for Digital Transformation,,,,,,
jpn.1965.002,Kiuchi,Minoru,,1965,jpn.min.hog.fisc.chm.exc.01,Minister of State for Economic and Fiscal Policy,,,,,,
jpn.1964.002,Mihara,Junko,,1964,jpn.hog.hlth.enf.chm.exc.01,Minister of State for Children's Policies and Measures for Declining Birthrate,,,,,,
jpn.1982.002,Onoda,Kimi,,1982,jpn.hog.dfns.eco.chm.exc.01,Minister of State for Economic Security,,,,,,
jpn.1965.003,Sakai,Manabu,,1965,jpn.hog.gndm.env.chm.exc.01,Minister of State for Disaster Management,,,,,,
jpn.1969.002,Inoue,Shinji ,,1969,jpn.hog.cltr.eco.chm.exc.01,"Minister of State for Cool Japan Strategy, Intellectual Property, Science and Technology, Space Policy, and AI Strategy",,,,,,
jpn.1976.001,Jimi,Hanako,,1976,jpn.hog.int.chm.exc.01,"Minister of State for Okinawa and Northern Territories Affairs, Consumer Affairs, Regional Revitalization, Ainu Policies, and World Expo 2025",,,,,,
deu.1955.001,Merz,Friedrich,,1955,deu.hog,Federal Chancellor of the Federal Republic of Germany,,,,,,
deu.1962.001,Wadephul,Johann,,1962,deu.min.forn.exc.01,Federal Minister for Foreign Affairs,,,,,,
deu.1970.001,Dobrindt,Alexander,,1970,deu.min.gndm.exc.01,Federal Minister of the Interior and for Community,,,,,,
deu.1968.001,Hubig,Stefanie,,1968,deu.min.jstc.exc.01,Federal Minister of Justice,,,,,,
deu.1978.001,Klingbeil,Lars,,1978,deu.min.fisc.exc.01,Federal Minister of Finance,,,,,,
deu.1973.001,Reiche,Katherina,,1973,deu.min.comc.exc.01,Federal Minister for Economic Affairs and Climate Action,,,,,,
deu.1968.002,Bas,Baerbel,,1968,deu.min.labr.exc.01,Federal Minister of Labour and Social Affairs,,,,,,
deu.1960.001,Pistorius,Boris,,1960,deu.min.dfns.exc.01,Federal Minister of Defence,,,,,,
deu.1965.001,Rainer,Alois,,1965,deu.min.agrc.exc.01,Federal Minister of Food and Agriculture,,,,,,
deu.1979.001,Warken,Nina,,1979,deu.min.hlth.exc.01,Federal Minister of Health,,,,,,
deu.1968.003,Schneider,Patrick,,1968,deu.min.infr.exc.01,Federal Minister for Digital and Transport,,,,,,
deu.1976.001,Schneider,Carsten,,1976,deu.min.resr.exc.01,"Federal Minister for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection",,,,,,
deu.1975.001,Prien,Karin,,1975,deu.min.labr.soc.exc.01,"Federal Minister for Family Affairs, Senior Citizens, Women and Youth",,,,,,
